title,url,price,primary_image_url,currency,crawl_time,current_price,categories
LG V10 Dual-SIM H961N ,http://www.expansys.com.sg/lg-v10-dual-sim-h961n-unlocked-64gb-luxe-white-285219/,SG$808,http://i2.expansys.com/img/p/285219/lg-v10-dual-sim-h961n.jpg,Singaporean Dollar,2016-04-14 12:04:37,SG$808,"Mobile Phones,Dual SIM Phones"
ASUS ZenFone Selfie Dual SIM - ZD551KL ,http://www.expansys.com.sg/asus-zenfone-selfie-dual-sim-zd551kl-unlocked-lte-32gb-pure-white-282026/,SG$329,http://i2.expansys.com/img/p/282026/asus-zenfone-selfie-dual-sim-zd551kl.jpg,Singaporean Dollar,2016-04-14 12:04:39,SG$329,"Mobile Phones,Dual SIM Phones"
ASUS Zenfone 2 Laser Dual SIM ZE550KL ,http://www.expansys.com.sg/asus-zenfone-2-laser-dual-sim-ze550kl-unlocked-lte-16gb-white-282145/,SG$254,http://i2.expansys.com/img/p/282145/asus-zenfone-2-laser-dual-sim-ze550kl.jpg,Singaporean Dollar,2016-04-14 12:04:40,SG$254,"Mobile Phones,Dual SIM Phones"
Kyocera Torque KC-S701 ,http://www.expansys.com.sg/kyocera-torque-kc-s701-black-279551/,SG$584,http://i1.expansys.com/img/p/279551/kyocera-torque-kc-s701.jpg,Singaporean Dollar,2016-04-14 12:04:41,SG$584,"Mobile Phones,SIM Free Phones"
ASUS ZenFone Selfie Dual SIM - ZD551KL ,http://www.expansys.com.sg/asus-zenfone-selfie-dual-sim-zd551kl-unlocked-lte-32gb-aqua-blue-282154/,SG$339,http://i1.expansys.com/img/p/282154/asus-zenfone-selfie-dual-sim-zd551kl.jpg,Singaporean Dollar,2016-04-14 12:04:42,SG$339,"Mobile Phones,Dual SIM Phones"
Microsoft Lumia 950 XL Dual SIM RM-1116 ,http://www.expansys.com.sg/microsoft-lumia-950-xl-dual-sim-rm-1116-unlocked-32gb-white-288717/,SG$714,http://i2.expansys.com/img/p/288717/microsoft-lumia-950-xl-dual-sim-rm-1116.jpg,Singaporean Dollar,2016-04-14 12:04:43,SG$714,"Mobile Phones,Dual SIM Phones"
Sony Xperia XA ,http://www.expansys.com.sg/sony-xperia-xa-unlocked-16gb-rose-gold-288276/,Price Not Announced,http://i2.expansys.com/img/p/288276/sony-xperia-xa.jpg,Singaporean Dollar,2016-04-14 12:04:44,Price Not Announced,"Mobile Phones,SIM Free Phones,Android,Marshmallow 6.0"
Sony Xperia XA ,http://www.expansys.com.sg/sony-xperia-xa-unlocked-16gb-white-288274/,Price Not Announced,http://i1.expansys.com/img/p/288274/sony-xperia-xa.jpg,Singaporean Dollar,2016-04-14 12:04:46,Price Not Announced,"Mobile Phones,SIM Free Phones,Android,Marshmallow 6.0"
Apple iPhone 6s A1688 ,http://www.expansys.com.sg/apple-iphone-6s-a1688-unlocked-64gb-rose-gold-282808/,"SG$1,134",http://i2.expansys.com/img/p/282808/apple-iphone-6s-a1688.jpg,Singaporean Dollar,2016-04-14 12:04:47,"SG$1,134","Mobile Phones,SIM Free Phones,iOS"
ASUS ZenFone 2 Deluxe Dual SIM - ZE551ML ,http://www.expansys.com.sg/asus-zenfone-2-deluxe-dual-sim-ze551ml-unlocked-lte-16gb-purple-282091/,SG$329,http://i1.expansys.com/img/p/282091/asus-zenfone-2-deluxe-dual-sim-ze551ml.jpg,Singaporean Dollar,2016-04-14 12:04:47,SG$329,"Mobile Phones,Dual SIM Phones"
Apple iPhone SE A1723 ,http://www.expansys.com.sg/apple-iphone-se-a1723-unlocked-16gb-rose-gold-288845/,SG$669,http://i2.expansys.com/img/p/288845/apple-iphone-se-a1723.jpg,Singaporean Dollar,2016-04-14 12:04:48,SG$669,"Mobile Phones,SIM Free Phones,iOS"
Sony Xperia X ,http://www.expansys.com.sg/sony-xperia-x-unlocked-32gb-graphite-black-288279/,Price Not Announced,http://i2.expansys.com/img/p/288279/sony-xperia-x.jpg,Singaporean Dollar,2016-04-14 12:04:50,Price Not Announced,"Mobile Phones,SIM Free Phones,Android,Marshmallow 6.0"
Apple iPhone SE A1723 ,http://www.expansys.com.sg/apple-iphone-se-a1723-unlocked-64gb-rose-gold-288849/,SG$854,http://i2.expansys.com/img/p/288849/apple-iphone-se-a1723.jpg,Singaporean Dollar,2016-04-14 12:04:51,SG$854,"Mobile Phones,SIM Free Phones,iOS"
Apple iPhone SE A1723 ,http://www.expansys.com.sg/apple-iphone-se-a1723-unlocked-64gb-silver-288847/,SG$854,http://i2.expansys.com/img/p/288847/apple-iphone-se-a1723.jpg,Singaporean Dollar,2016-04-14 12:04:52,SG$854,"Mobile Phones,SIM Free Phones,iOS"
Sony Xperia XA ,http://www.expansys.com.sg/sony-xperia-xa-unlocked-16gb-graphite-black-288273/,Price Not Announced,http://i1.expansys.com/img/p/288273/sony-xperia-xa.jpg,Singaporean Dollar,2016-04-14 12:04:54,Price Not Announced,"Mobile Phones,SIM Free Phones,Android,Marshmallow 6.0"
Apple iPhone 6s Plus A1687 ,http://www.expansys.com.sg/apple-iphone-6s-plus-unlocked-64gb-gold-282850/,"SG$1,269",http://i1.expansys.com/img/p/282850/apple-iphone-6s-plus.jpg,Singaporean Dollar,2016-04-14 12:04:54,"SG$1,269","Mobile Phones,SIM Free Phones,iOS"
ASUS Zenfone Zoom ZX551ML ,http://www.expansys.com.sg/asus-zenfone-zoom-zx551ml-unlocked-64gb-sleek-ceramic-white-286788/,SG$584,http://i2.expansys.com/img/p/286788/asus-zenfone-zoom-zx551ml.jpg,Singaporean Dollar,2016-04-14 12:04:56,SG$584,"Mobile Phones,SIM Free Phones,Android,Lollipop"
LG V10 Dual-SIM H961N ,http://www.expansys.com.sg/lg-v10-dual-sim-h961n-unlocked-64gb-modern-beige-285221/,SG$808,http://i1.expansys.com/img/p/285221/lg-v10-dual-sim-h961n.jpg,Singaporean Dollar,2016-04-14 12:04:58,SG$808,"Mobile Phones,Dual SIM Phones"
Meizu m2 note M571H Dual-SIM ,http://www.expansys.com.sg/meizu-m2-note-dual-sim-unlocked-16gb-white-284513/,SG$254,http://i1.expansys.com/img/p/284513/meizu-m2-note-dual-sim.jpg,Singaporean Dollar,2016-04-14 12:04:59,SG$254,"Mobile Phones,Dual SIM Phones"
ASUS ZenFone Selfie Dual SIM - ZD551KL ,http://www.expansys.com.sg/asus-zenfone-selfie-dual-sim-zd551kl-unlocked-lte-32gb-chic-pink-282155/,SG$339,http://i2.expansys.com/img/p/282155/asus-zenfone-selfie-dual-sim-zd551kl.jpg,Singaporean Dollar,2016-04-14 12:05:00,SG$339,"Mobile Phones,Dual SIM Phones"
Apple iPhone 6s Plus A1687 ,http://www.expansys.com.sg/apple-iphone-6s-plus-a1687-unlocked-16gb-rose-gold-282853/,"SG$1,114",http://i1.expansys.com/img/p/282853/apple-iphone-6s-plus-a1687.jpg,Singaporean Dollar,2016-04-14 12:05:01,"SG$1,114","Mobile Phones,SIM Free Phones,iOS"
Apple iPhone 6s A1688 ,http://www.expansys.com.sg/apple-iphone-6s-a1688-unlocked-64gb-gold-282804/,"SG$1,134",http://i1.expansys.com/img/p/282804/apple-iphone-6s-a1688.jpg,Singaporean Dollar,2016-04-14 12:05:02,"SG$1,134","Mobile Phones,SIM Free Phones,iOS"
Apple iPhone SE A1723 ,http://www.expansys.com.sg/apple-iphone-se-a1723-unlocked-16gb-gold-288844/,SG$669,http://i1.expansys.com/img/p/288844/apple-iphone-se-a1723.jpg,Singaporean Dollar,2016-04-14 12:05:04,SG$669,"Mobile Phones,SIM Free Phones,iOS"
Apple iPhone SE A1723 ,http://www.expansys.com.sg/apple-iphone-se-a1723-unlocked-16gb-silver-288843/,SG$669,http://i1.expansys.com/img/p/288843/apple-iphone-se-a1723.jpg,Singaporean Dollar,2016-04-14 12:05:05,SG$669,"Mobile Phones,SIM Free Phones,iOS"
Microsoft Lumia 650 Dual SIM RM-1154 ,http://www.expansys.com.sg/microsoft-lumia-650-dual-sim-rm-1154-unlocked-16gb-black-289474/,SG$329,http://i1.expansys.com/img/p/289474/microsoft-lumia-650-dual-sim-rm-1154.jpg,Singaporean Dollar,2016-04-14 12:05:06,SG$329,"Mobile Phones,SIM Free Phones,Windows Phone,Windows 10"
Apple iPhone SE A1723 ,http://www.expansys.com.sg/apple-iphone-se-a1723-unlocked-64gb-gold-288848/,SG$854,http://i2.expansys.com/img/p/288848/apple-iphone-se-a1723.jpg,Singaporean Dollar,2016-04-14 12:05:08,SG$854,"Mobile Phones,SIM Free Phones,iOS"
Apple iPhone SE A1723 ,http://www.expansys.com.sg/apple-iphone-se-a1723-unlocked-64gb-space-gray-288846/,SG$854,http://i2.expansys.com/img/p/288846/apple-iphone-se-a1723.jpg,Singaporean Dollar,2016-04-14 12:05:08,SG$854,"Mobile Phones,SIM Free Phones,iOS"
Apple iPhone 6s Plus A1687 ,http://www.expansys.com.sg/apple-iphone-6s-plus-unlocked-64gb-silver-282844/,"SG$1,269",http://i1.expansys.com/img/p/282844/apple-iphone-6s-plus.jpg,Singaporean Dollar,2016-04-14 12:05:11,"SG$1,269","Mobile Phones,SIM Free Phones,iOS"
Microsoft Lumia 650 Dual SIM RM-1154 ,http://www.expansys.com.sg/microsoft-lumia-650-dual-sim-rm-1154-unlocked-16gb-white-289475/,SG$329,http://i2.expansys.com/img/p/289475/microsoft-lumia-650-dual-sim-rm-1154.jpg,Singaporean Dollar,2016-04-14 12:05:12,SG$329,"Mobile Phones,SIM Free Phones,Windows Phone,Windows 10"
Apple iPhone 6s Plus A1687 ,http://www.expansys.com.sg/apple-iphone-6s-plus-a1687-unlocked-16gb-space-gray-282742/,"SG$1,114",http://i1.expansys.com/img/p/282742/apple-iphone-6s-plus-a1687.jpg,Singaporean Dollar,2016-04-14 12:05:12,"SG$1,114","Mobile Phones,SIM Free Phones,iOS"
Microsoft Lumia 430 Dual SIM RM-1099 ,http://www.expansys.com.sg/microsoft-lumia-430-dual-sim-unlocked-8gb-orange-276503/,SG$112,http://i1.expansys.com/img/p/276503/microsoft-lumia-430-dual-sim.jpg,Singaporean Dollar,2016-04-14 12:05:13,SG$112,"Mobile Phones,Dual SIM Phones"
Sony Xperia XA ,http://www.expansys.com.sg/sony-xperia-xa-unlocked-16gb-lime-gold-288275/,Price Not Announced,http://i2.expansys.com/img/p/288275/sony-xperia-xa.jpg,Singaporean Dollar,2016-04-14 12:05:14,Price Not Announced,"Mobile Phones,SIM Free Phones,Android,Marshmallow 6.0"
"ASUS ZenFone 2 Laser 6"" Dual-SIM ZE601KL ",http://www.expansys.com.sg/asus-zenfone-2-laser-6-dual-sim-ze601kl-unlocked-32gb-sheer-gold-285976/,SG$394,http://i2.expansys.com/img/p/285976/asus-zenfone-2-laser-6-dual-sim-ze601kl.jpg,Singaporean Dollar,2016-04-14 12:05:15,SG$394,"Mobile Phones,Dual SIM Phones"
Apple iPhone 6s Plus A1687 ,http://www.expansys.com.sg/apple-iphone-6s-plus-unlocked-16gb-silver-282835/,"SG$1,114",http://i2.expansys.com/img/p/282835/apple-iphone-6s-plus.jpg,Singaporean Dollar,2016-04-14 12:05:17,"SG$1,114","Mobile Phones,SIM Free Phones,iOS"
Strontium NITRO iDrive USB3.0 with Lightning ,http://www.expansys.com.sg/strontium-idrive-usb3-0-with-lightning-128gb-r70mb-s-for-ios-mac-pc-282286/,SG$160,http://i2.expansys.com/img/p/282286/strontium-idrive-usb3-0-with-lightning.jpg,Singaporean Dollar,2016-04-14 12:05:19,SG$160,"Mobile Phones,Phone Accessories,Memory & Storage"
