title,url,price,primary_image_url,currency,crawl_time,current_price,categories
HTC One mini 2 Flip Case HC V970 ,http://www.expansys.com.sg/htc-one-mini-2-flip-case-hc-v970-grey-retail-blister-261959/,SG$6,http://i2.expansys.com/img/p/261959/htc-one-mini-2-flip-case-hc-v970.jpg,Singaporean Dollar,2016-04-12 17:18:31,SG$6,"Mobile Phones,Phone Accessories,Cases & Covers"
Kuboq Advanced TPU Case for HTC One Mini ,http://www.expansys.com.sg/kuboq-advanced-tpu-for-htc-one-mini-black-252333/,SG$3,http://i1.expansys.com/img/p/252333/kuboq-advanced-tpu-for-htc-one-mini.jpg,Singaporean Dollar,2016-04-12 17:18:32,SG$3,"Mobile Phones,Phone Accessories,Cases & Covers"
Motorola Shell for Motorola Moto E ,http://www.expansys.com.sg/motorola-shell-for-motorola-moto-e-turquoise-261373/,SG$6,http://i1.expansys.com/img/p/261373/motorola-shell-for-motorola-moto-e.jpg,Singaporean Dollar,2016-04-12 17:18:33,SG$6,"Mobile Phones,Phone Accessories,Cases & Covers"
Noreve Tradition Leather Case for Nokia Lumia 630/635 ,http://www.expansys.com.sg/noreve-tradition-leather-case-for-nokia-lumia-630-635-flip-type-perpetual-black-261638/,SG$57,http://i2.expansys.com/img/p/261638/noreve-tradition-leather-case-for-nokia-lumia-630-635.jpg,Singaporean Dollar,2016-04-12 17:18:33,SG$57,"Mobile Phones,Phone Accessories,Cases & Covers"
CAPDASE Soft Jacket Xpose for Galaxy S5 ,http://www.expansys.com.sg/capdase-soft-jacket-xpose-for-galaxy-s5-tinted-white-259644/,SG$3,http://i1.expansys.com/img/p/259644/capdase-soft-jacket-xpose-for-galaxy-s5.jpg,Singaporean Dollar,2016-04-12 17:18:34,SG$3,"Mobile Phones,Phone Accessories,Cases & Covers"
Kuboq Advanced TPU Case for Galaxy S5 ,http://www.expansys.com.sg/kuboq-advanced-tpu-case-for-galaxy-s5-w-screen-protector-transparent-259628/,SG$1,http://i2.expansys.com/img/p/259628/kuboq-advanced-tpu-case-for-galaxy-s5.jpg,Singaporean Dollar,2016-04-12 17:18:35,SG$1,"Mobile Phones,Phone Accessories,Cases & Covers"
Krusell Kiruna FlipCase for Samsung Galaxy S5 ,http://www.expansys.com.sg/krusell-kiruna-flipcase-for-samsung-galaxy-s5-camel-259537/,SG$34,http://i2.expansys.com/img/p/259537/krusell-kiruna-flipcase-for-samsung-galaxy-s5.jpg,Singaporean Dollar,2016-04-12 17:18:36,SG$34,"Mobile Phones,Phone Accessories,Cases & Covers"
Krusell FrostCover for Xperia M2 ,http://www.expansys.com.sg/krusell-frostcover-for-sony-xperia-m2-transparent-black-259028/,SG$30,http://i2.expansys.com/img/p/259028/krusell-frostcover-for-sony-xperia-m2.jpg,Singaporean Dollar,2016-04-12 17:18:37,SG$30,"Mobile Phones,Phone Accessories,Cases & Covers"
Krusell Boden FlipCover  for Xperia Z2 ,http://www.expansys.com.sg/krusell-boden-flipcover-for-xperia-z2-black-258913/,SG$27,http://i1.expansys.com/img/p/258913/krusell-boden-flipcover-for-xperia-z2.jpg,Singaporean Dollar,2016-04-12 17:18:39,SG$27,"Mobile Phones,Phone Accessories,Cases & Covers"
Kuboq Leather Case for Galaxy Tab3 ,http://www.expansys.com.sg/kuboq-leather-case-for-galaxy-tab3-8-slim-cut-black-257871/,SG$3,http://i1.expansys.com/img/p/257871/kuboq-leather-case-for-galaxy-tab3.jpg,Singaporean Dollar,2016-04-12 17:18:41,SG$3,"Mobile Phones,Phone Accessories,Cases & Covers"
melkco Premium Leather Wallet Book Cover For Galaxy S5 ,http://www.expansys.com.sg/melkco-premium-leather-wallet-book-case-for-galaxy-s5-black-258837/,SG$25,http://i2.expansys.com/img/p/258837/melkco-premium-leather-wallet-book-case-for-galaxy-s5.jpg,Singaporean Dollar,2016-04-12 17:18:41,SG$25,"Mobile Phones,Phone Accessories,Cases & Covers"
Kuboq Leather Case for Galaxy Tab3 ,http://www.expansys.com.sg/kuboq-leather-case-for-galaxy-tab3-7-slimme-cut-white-257864/,SG$3,http://i1.expansys.com/img/p/257864/kuboq-leather-case-for-galaxy-tab3.jpg,Singaporean Dollar,2016-04-12 17:18:43,SG$3,"Mobile Phones,Phone Accessories,Cases & Covers"
Kuboq Leather Case for Galaxy Tab3 ,http://www.expansys.com.sg/kuboq-leather-case-for-galaxy-tab3-7-slimme-cut-black-257863/,SG$3,http://i1.expansys.com/img/p/257863/kuboq-leather-case-for-galaxy-tab3.jpg,Singaporean Dollar,2016-04-12 17:18:45,SG$3,"Mobile Phones,Phone Accessories,Cases & Covers"
AT Screen Guard for Sony Xperia C3 ,http://www.expansys.com.sg/at-screen-guard-for-sony-xperia-c3-anti-fingerprint-crystal-clear-264719/,SG$13,http://i2.expansys.com/img/p/264719/at-screen-guard-for-sony-xperia-c3.jpg,Singaporean Dollar,2016-04-12 17:18:47,SG$13,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
Kuboq Advanced TPU Case for Moto G ,http://www.expansys.com.sg/kuboq-advanced-tpu-case-for-motog-with-screen-protector-white-257862/,SG$3,http://i1.expansys.com/img/p/257862/kuboq-advanced-tpu-case-for-motog.jpg,Singaporean Dollar,2016-04-12 17:18:47,SG$3,"Mobile Phones,Phone Accessories,Cases & Covers"
Kuboq Advanced TPU Case for Asus ZenFone 5 ,http://www.expansys.com.sg/kuboq-advanced-tpu-case-for-asus-zenfone-5-a500kl-with-screen-protector-black-264634/,SG$7,http://i1.expansys.com/img/p/264634/kuboq-advanced-tpu-case-for-asus-zenfone-5-a500kl.jpg,Singaporean Dollar,2016-04-12 17:18:49,SG$7,"Mobile Phones,Phone Accessories,Cases & Covers"
PDair Deluxe Leather Case for Acer Liquid Z4 ,http://www.expansys.com.sg/pdair-deluxe-leather-case-for-acer-liquid-z4-flip-type-black-264506/,SG$4,http://i2.expansys.com/img/p/264506/pdair-deluxe-leather-case-for-acer-liquid-z4.jpg,Singaporean Dollar,2016-04-12 17:18:50,SG$4,"Mobile Phones,Phone Accessories,Cases & Covers"
AT Screen Guard for HTC One E8 ,http://www.expansys.com.sg/at-screen-guard-for-htc-one-e8-anti-fingerprint-crystal-clear-264368/,SG$2,http://i2.expansys.com/img/p/264368/at-screen-guard-for-htc-one-e8.jpg,Singaporean Dollar,2016-04-12 17:18:50,SG$2,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
AT Screen Guard  for Nokia Lumia 930 ,http://www.expansys.com.sg/at-screen-guard-for-nokia-lumia-930-anti-fingerprint-crystal-clear-264019/,SG$13,http://i2.expansys.com/img/p/264019/at-screen-guard-for-nokia-lumia-930.jpg,Singaporean Dollar,2016-04-12 17:18:52,SG$13,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
